"body","entityname","userid","username","createdAt","entityName","address","city","country","state"
"😘☺️😎😊","Katch","1361942793868970","Konstantinos Koiliaris","2017-03-16 06:06:21.653+00","Katch","800 Market Street, San Francisco","San Francisco","United States","California"
"🌮🌮","Bio Cafe","878293195646842","Joe Higgs","2017-03-16 06:14:12.287+00","Bio Cafe","75 O Farrell St, San Francisco","San Francisco","United States","California"
"🐔🍗😍","Lao sze chuan","10212886863311893","Sujay Khandekar","2017-08-31 04:54:15.023+00","Lao sze chuan","608 East University Avenue ste. 105, Champaign","Champaign","United States","Illinois"
"😍🍲🍚","Jip Bap","10212886863311893","Sujay Khandekar","2017-08-31 04:56:40.962+00","Jip Bap","601 South 6th Street Suite 101, Champaign","Champaign","United States","Illinois"
"🇹🇭😒😶","Butterfly Sushi Bar & Thai Cuisine","878293195646842","Joe Higgs","2017-08-31 04:57:20.834+00","Butterfly Sushi Bar & Thai Cuisine","1139 West Grand Avenue, Chicago","Chicago","United States","Illinois"
"🍰⏱","Perkins Restaurant & Bakery","10212886863311893","Sujay Khandekar","2017-08-31 04:57:52.344+00","Perkins Restaurant & Bakery","1214 West University Avenue, Urbana","Urbana","United States","Illinois"
"📲📱💿📀😍","Thomas M. Siebel Center for Computer Science","10212886863311893","Sujay Khandekar","2017-08-31 16:05:55.439+00","Thomas M. Siebel Center for Computer Science","201 North Goodwin Avenue, Urbana","Urbana","United States","Illinois"
"😍😁🍝🇮🇹💰","Osteria Vecchio Piemonte","794492160751553","Wyndham Batchelor","2017-08-31 16:34:58.056+00","Osteria Vecchio Piemonte","10480 Southwest 72nd Street, Miami","Miami","United States","Florida"
"🚗🚈🛫😅","O'Hare International Airport","10155200088205955","Ranjitha Kumar","2017-08-31 16:46:26.253+00","O'Hare International Airport","10000 W O'Hare Ave, Chicago","Chicago","United States","Illinois"
"🏅🍕🏘💯♥","Pizzeria Antica","1361942793868970","Konstantinos Koiliaris","2017-08-31 17:04:26.779+00","Pizzeria Antica","10 East Chester Street, Champaign","Champaign","United States","Illinois"
"🍞🍅🍦😋","Panera Bread","10212886863311893","Sujay Khandekar","2017-08-31 17:32:52.333+00","Panera Bread","616 East Green Street, Champaign","Champaign","United States","Illinois"
"👌🍕😍","Roma Little Italy","1862385467106791","Jonathan Martinez","2017-08-31 18:40:30.593+00","Roma Little Italy","1407 East Fayette Street, Baltimore","Baltimore","United States","Maryland"
"🇹🇭🍚🍖👍😍","Pho Cafe Thai Kitchen","1361942793868970","Konstantinos Koiliaris","2017-08-31 20:23:34.985+00","Pho Cafe Thai Kitchen","611 East Green Street, Champaign","Champaign","United States","Illinois"
"🍜🌶🌶😍","Pho Cafe Thai Kitchen","10212886863311893","Sujay Khandekar","2017-08-31 20:45:51.509+00","Pho Cafe Thai Kitchen","611 East Green Street, Champaign","Champaign","United States","Illinois"
"🇨🇺😁🙌🍖🐖","Las Vegas Cuban Cuisine","794492160751553","Wyndham Batchelor","2017-08-31 20:54:01.853+00","Las Vegas Cuban Cuisine","7015 West Broward Boulevard, Plantation","Plantation","United States","Florida"
"😎","Noodles and Company","1489414987817132","Varsha Subrahmanyam","2017-08-31 21:31:55.042+00","Noodles and Company","528 East Green Street, Champaign","Champaign","United States","Illinois"
"😍😍😍😍😍","Noodles and Company","1489414987817132","Varsha Subrahmanyam","2017-08-31 21:32:09.208+00","Noodles and Company","528 East Green Street, Champaign","Champaign","United States","Illinois"
"🍔🍟","Perkins Restaurant & Bakery","1489414987817132","Varsha Subrahmanyam","2017-08-31 21:36:51.232+00","Perkins Restaurant & Bakery","1214 West University Avenue, Urbana","Urbana","United States","Illinois"
"🐔🐓😌","Dirty Bird to-go","10155200088205955","Ranjitha Kumar","2017-09-01 00:42:57.336+00","Dirty Bird to-go","204 West 14th Street, New York","New York","United States","New York"
"😍🙏🍙🍻🇰🇷","Gabose Pocha","794492160751553","Wyndham Batchelor","2017-09-01 00:58:01.851+00","Gabose Pocha","4933 North University Drive, Lauderhill","Lauderhill","United States","Florida"
"😎👍☕🍪🆒","Ella Cafe","794492160751553","Wyndham Batchelor","2017-09-01 01:36:18.566+00","Ella Cafe","9743 West Broward Boulevard, Plantation","Plantation","United States","Florida"
"🍤🍗👌👍","Oz Kafe, ByWard Market","10203191900074104","Sunil Khandekar","2017-09-01 01:38:41.665+00","Oz Kafe, ByWard Market","10 York Street, Ottawa","Ottawa","Canada","Ontario"
"🤗🔥🇰🇷🎶💯","Gabose Pocha","10156570523047519","Destiny Westbrook","2017-09-01 01:43:53.165+00","Gabose Pocha","4933 North University Drive, Lauderhill","Lauderhill","United States","Florida"
"🍻💙👍👃👎","Kam's","878293195646842","Joe Higgs","2017-09-01 04:39:45.6+00","Kam's","618 East Daniel Street, Champaign","Champaign","United States","Illinois"
"☕🎧👨‍💻🔜🛏","Latitude Apartments","1361942793868970","Konstantinos Koiliaris","2017-09-01 07:39:35.942+00","Latitude Apartments","608 East University Avenue, Champaign","Champaign","United States","Illinois"
"👎😐","Grand Lux Cafe","10203191900074104","Sunil Khandekar","2017-09-01 20:07:24.403+00","Grand Lux Cafe","600 N Michigan Avenue At Ontario, Chicago","Chicago","United States","Illinois"
"😁🐖🍖🇨🇺🔝","Padrino's Cuban Cuisine","794492160751553","Wyndham Batchelor","2017-09-01 21:10:24.543+00","Padrino's Cuban Cuisine","801 South University Drive J-105, Plantation","Plantation","United States","Florida"
"🍕😩🏆","Joe's Pizza","10155200088205955","Ranjitha Kumar","2017-09-01 21:18:58.345+00","Joe's Pizza","7 Carmine Street, New York","New York","United States","New York"
"🅱💯🍜🔥💥","Tatsu Ramen","980183395456784","Logan Koerner","2017-09-02 03:49:23.247+00","Tatsu Ramen","2123 Sawtelle Boulevard, Los Angeles","Los Angeles","United States","California"
"😍🍵😝😊","Latea Bubble Tea Lounge","1270106893044550","Anjali Ramani","2017-09-02 20:26:32.672+00","Latea Bubble Tea Lounge","601 South 6th Street #105, Champaign","Champaign","United States","Illinois"
"🍚🐲🍗💯😌","Jip Bap","1361942793868970","Konstantinos Koiliaris","2017-09-02 20:27:13.966+00","Jip Bap","601 South 6th Street Suite 101, Champaign","Champaign","United States","Illinois"
"🍻🍷👍","Howells & Hood","10203191900074104","Sunil Khandekar","2017-09-03 00:25:22.6+00","Howells & Hood","435 North Michigan Avenue, Chicago","Chicago","United States","Illinois"
"🍩🍞😍☕😑","Sullivan Street Bakery","10155200088205955","Ranjitha Kumar","2017-09-03 17:23:41.798+00","Sullivan Street Bakery","236 9th Avenue, New York","New York","United States","New York"
"🍣😍","MOMOYA","10155200088205955","Ranjitha Kumar","2017-09-04 00:23:48.535+00","MOMOYA","185 7th Avenue, New York","New York","United States","New York"
"👨‍💻☕🎼😌","Hammerhead Coffee","1361942793868970","Konstantinos Koiliaris","2017-09-04 18:49:42.711+00","Hammerhead Coffee","608 East University Avenue, Champaign","Champaign","United States","Illinois"
