body,entityname,userid,username,createdAt,entityName,address,city,country,state
🕒,Maryville University,904147553087729,Charis Ryu,2018-04-24 17:26:23.938+00,Maryville University,650 Maryville University Dr, St. Louis,St. Louis,United States,Missouri
🤙,Uncle Al's Sports Cafe,108473739188452905120,Jeffrey Higgs,2018-03-17 21:08:19.782+00,Uncle Al's Sports Cafe,15846 West State Road 84, Sunrise,Sunrise,United States,Florida
🤝,Embassy Suites by Hilton Scottsdale Resort,1659104244102907,Dayana Edat,2018-07-24 15:44:19.12+00,Embassy Suites by Hilton Scottsdale Resort,5001 N Scottsdale Rd, Scottsdale,Scottsdale,United States,Arizona
🎉,Estelle,1726108570780522,Shivali Patel,2018-03-10 03:38:11.198+00,Estelle,Sveavägen 36, Stockholm,Stockholm,Sweden,Stockholms län
🔨,Autodesk Technology Centre Toronto,0HqYkVD6BCOAI5e3sIeCaSvqFOz1,Minsuk Chang,2019-02-13 22:04:26.03+00,Autodesk Technology Centre Toronto,661 University Avenue, Toronto,Toronto,Canada,Ontario
🥶,Champaign,108032751776815363988,Jerry Talton,2019-01-29 14:30:51.705+00,Champaign,Champaign,Champaign,United States,Illinois
🍊,County Market,10215323205660534,Austin Sun,2018-04-23 08:08:34.537+00,County Market,331 East Stoughton Street, Champaign,Champaign,United States,Illinois
😃,Crudo,110478412661569610356,cynthia coleman,2018-04-22 21:40:03.37+00,Crudo,116 North Walnut Street, Champaign,Champaign,United States,Illinois
🚗,University of Illinois Willard Airport,108032751776815363988,Jerry Talton,2018-08-17 21:39:46.414+00,University of Illinois Willard Airport,11 Airport Road, Savoy,Savoy,United States,Illinois
🕶,Modern Times Beer,1811885595488476,Shaymus Alwan,2017-11-11 06:12:48.612+00,Modern Times Beer,3725 Greenwood Street, San Diego,San Diego,United States,California
👍,Meat & Egg Sales Room,110478412661569610356,cynthia coleman,2018-08-21 18:07:45.252+00,Meat & Egg Sales Room,1503 South Maryland Drive, Urbana,Urbana,United States,Illinois
🌮,Cielito Lindo,1695707747139533,Ben Dalgarn,2018-03-07 18:38:19.079+00,Cielito Lindo,23 Olvera St, Los Angeles,Los Angeles,United States,California
😋,Le Peep,10155200088205955,Ranjitha Kumar,2019-02-02 02:11:27.543+00,Le Peep,2209 South Neil Street, Champaign,Champaign,United States,Illinois
🏠,Chilmark,106173579224565293482,Kala Shivaramaiah,2018-08-27 15:25:54.664+00,Chilmark,Chilmark, MA, USA,Chilmark,United States,Massachusetts
🦌,Nara Park,1898612533778623,Lindsay Huang,2019-05-28 02:58:19.115+00,Nara Park,NaraNaraJapan,Nara
🍇,Fly,105856798281199967470,Sujay Khandekar,2018-06-16 06:44:35.753+00,Fly,762 Divisadero Street, San Francisco,San Francisco,United States,California
🏞,Kilt Rock and Mealt Falls Viewpoint,10155200088205955,Ranjitha Kumar,2019-05-10 23:30:16.28+00,Kilt Rock and Mealt Falls Viewpoint,A855, Portree,,United Kingdom,Scotland
🍲,Lao sze chuan,1640736822650363,Hyojin Gina Do,2018-02-25 03:12:28.363+00,Lao sze chuan,608 East University Avenue ste. 105, Champaign,Champaign,United States,Illinois
🔥,Boiling Point, Seattle,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-06-30 04:59:40.379+00,Boiling Point, Seattle,610 5th Avenue South, Seattle,Seattle,United States,Washington
🐄,Outback Steakhouse,htinzXo0U8gSKo8oHgG1WEkqWXc2,Sanjay Kumar,2018-12-22 04:40:18.224+00,Outback Steakhouse,632 Blossom Hill Road, San Jose,San Jose,United States,California
😗,Benny's Pizza,1864493876898160,Matea Zaper,2018-04-01 00:54:30.975+00,Benny's Pizza,6806 26th St, Berwyn,Berwyn,United States,IL
🍸,Montreal Science Centre,1111655028939865,Arnav Mishra,2018-04-24 01:36:39.921+00,Montreal Science Centre,2 de la Commune St W, Montreal,Montréal,Canada,Québec
🍗,Drumstix Market,10214891722144694,Katerina Makridakis Skokin,2018-02-28 18:46:26.214+00,Drumstix Market,1363 Shermer Road, Northbrook,Northbrook,United States,Illinois
😡,farmerbrown,108032751776815363988,Jerry Talton,2017-12-12 21:05:47.372+00,farmerbrown,Hotel Metropolis, 25 Mason Street, San Francisco,San Francisco,United States,California
😍,2017 S Neil St,xkUdubkt3Cgfn7peWTWTEejSvmm1,Hang Yuan,2018-10-28 01:16:33.765+00,2017 S Neil St,Champaign,Champaign,United States,Illinois
🌮,Laughing Planet,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2018-12-08 20:15:23.283+00,Laughing Planet,650 Tahoe Street, Reno,Reno,United States,Nevada
🥑,Roast Kitchen,10155200088205955,Ranjitha Kumar,2017-11-20 20:09:28.338+00,Roast Kitchen,199 Water Street, New York,New YorkUnited States,New York
🤟,villa de spicy,1263609250405290,Jimmy Chae,2018-05-12 10:55:21.358+00,villa de spicy,14-3 Dosan-daero 13-gil, Gangnam-gu,Seoul,South Korea,
😱,County Market,10212391291791338,Jinda Han,2019-01-30 06:00:44.733+00,County Market,331 East Stoughton Street, Champaign,Champaign,United States,Illinois
😍,St James's Park,10155200088205955,Ranjitha Kumar,2019-05-06 17:59:28.3+00,St James's Park,London,,United Kingdom,England
🍨,Blank Space Cafe,1425689854196183,Sunaya Kumar,2017-12-29 19:14:25.419+00,Blank Space Cafe,2126 2nd Avenue, Seattle,Seattle,United States,Washington
😊,Houses of Parliament,106173579224565293482,Kala Shivaramaiah,2019-03-15 20:42:29.894+00,Houses of Parliament,Bridge Street, London,,United Kingdom,England
🌶,EDEKA Moch Supermarket,106173579224565293482,Kala Shivaramaiah,2018-10-18 04:37:40.745+00,EDEKA Moch Supermarket,Grunerstraße 20, Berlin,BerlinGermany,Berlin
