,body,userid,entityName,type
0,😘☺️😎😊,1361942793868970,Katch,"point_of_interest,establishment"
1,🌮🌮,878293195646842,Bio Cafe,"point_of_interest,establishment"
2,🐔🍗😍,10212886863311893,Lao sze chuan,"point_of_interest,establishment"
3,😍🍲🍚,10212886863311893,Jip Bap,"point_of_interest,establishment"
4,🇹🇭😒😶,878293195646842,Butterfly Sushi Bar & Thai Cuisine,"point_of_interest,establishment"
5,🍰⏱,10212886863311893,Perkins Restaurant & Bakery,"point_of_interest,establishment"
6,📲📱💿📀😍,10212886863311893,Thomas M. Siebel Center for Computer Science,"point_of_interest,establishment"
7,😍😁🍝🇮🇹💰,794492160751553,Osteria Vecchio Piemonte,"point_of_interest,establishment"
8,🚗🚈🛫😅,10155200088205955,O'Hare International Airport,"point_of_interest,establishment"
9,🏅🍕🏘💯♥,1361942793868970,Pizzeria Antica,"point_of_interest,establishment"
10,🍞🍅🍦😋,10212886863311893,Panera Bread,"point_of_interest,establishment"
11,👌🍕😍,1862385467106791,Roma Little Italy,"point_of_interest,establishment"
12,🇹🇭🍚🍖👍😍,1361942793868970,Pho Cafe Thai Kitchen,"point_of_interest,establishment"
13,🍜🌶🌶😍,10212886863311893,Pho Cafe Thai Kitchen,"point_of_interest,establishment"
14,🇨🇺😁🙌🍖🐖,794492160751553,Las Vegas Cuban Cuisine,"point_of_interest,establishment"
15,😎,1489414987817132,Noodles and Company,"point_of_interest,establishment"
16,😍😍😍😍😍,1489414987817132,Noodles and Company,"point_of_interest,establishment"
17,🍔🍟,1489414987817132,Perkins Restaurant & Bakery,"point_of_interest,establishment"
18,🐔🐓😌,10155200088205955,Dirty Bird to-go,"point_of_interest,establishment"
19,😍🙏🍙🍻🇰🇷,794492160751553,Gabose Pocha,"point_of_interest,establishment"
20,😎👍☕🍪🆒,794492160751553,Ella Cafe,"point_of_interest,establishment"
21,🍤🍗👌👍,10203191900074104,"Oz Kafe, ByWard Market","point_of_interest,establishment"
22,🤗🔥🇰🇷🎶💯,10156570523047519,Gabose Pocha,"point_of_interest,establishment"
23,🍻💙👍👃👎,878293195646842,Kam's,"point_of_interest,establishment"
24,☕🎧👨‍💻🔜🛏,1361942793868970,Latitude Apartments,"point_of_interest,establishment"
25,👎😐,10203191900074104,Grand Lux Cafe,"point_of_interest,establishment"
26,😁🐖🍖🇨🇺🔝,794492160751553,Padrino's Cuban Cuisine,"point_of_interest,establishment"
27,🍕😩🏆,10155200088205955,Joe's Pizza,"point_of_interest,establishment"
28,🅱💯🍜🔥💥,980183395456784,Tatsu Ramen,"point_of_interest,establishment"
29,😍🍵😝😊,1270106893044550,Latea Bubble Tea Lounge,"point_of_interest,establishment"
30,🍚🐲🍗💯😌,1361942793868970,Jip Bap,"point_of_interest,establishment"
31,🍻🍷👍,10203191900074104,Howells & Hood,"point_of_interest,establishment"
32,🍩🍞😍☕😑,10155200088205955,Sullivan Street Bakery,"point_of_interest,establishment"
33,🍣😍,10155200088205955,MOMOYA,"point_of_interest,establishment"
34,👨‍💻☕🎼😌,1361942793868970,Hammerhead Coffee,"point_of_interest,establishment"
35,☕🍪☺,10155200088205955,Stumptown Coffee Roasters,"point_of_interest,establishment"
36,😍🙌🍚🍣🐟,878293195646842,Aloha Poke co.,"point_of_interest,establishment"
37,💇👍😍,10211909841598672,Ritual Salon,"point_of_interest,establishment"
38,🇲🇽🌮👌😣😬,1361942793868970,Maize Mexican Grill,"point_of_interest,establishment"
39,🐔🍟😍,10155200088205955,Black Dog Smoke & Ale House,"point_of_interest,establishment"
40,💪🌿,1517874618267474,sweetgreen,"point_of_interest,establishment"
41,🍣😐,10155200088205955,Harvest Market,"point_of_interest,establishment"
42,🌃🕯📝⏳😨,1361942793868970,Live Latitude,"point_of_interest,establishment"
43,🙅‍♂️🚼🕓,1361942793868970,Live Latitude,"point_of_interest,establishment"
44,🙄⏱⏱⏱⏱,878293195646842,"Pastoral Artisan Cheese, Bread & Wine (French Market)","point_of_interest,establishment"
45,🌮😍🙏,10214564776338222,Wedge Bar,"point_of_interest,establishment"
46,👍🍛👌🇮🇳,794492160751553,Bollywood Biryani,"point_of_interest,establishment"
47,🏃‍♀️🏋️‍♀️💪😅,10155200088205955,Charter Fitness of Urbana,"point_of_interest,establishment"
48,🐐🧀🍞🍅😍,10155200088205955,Urbana's Market at the Square,"point_of_interest,establishment"
49,😍🍳🍷🌞💃,1659104244102907,Radio Maria,"point_of_interest,establishment"
